scenario,height_m,sir_db
Ground 0 m,0.0,35.39250531560571
Ground 0 m,0.0,46.534419453762155
Ground 0 m,0.0,37.37085053827671
Ground 0 m,0.0,50.15894787239461
Ground 0 m,0.0,23.045052976093338
Ground 0 m,0.0,35.896977390701174
Ground 0 m,0.0,-22.70124454653642
Ground 0 m,0.0,23.066075238654836
Ground 0 m,0.0,44.08455163419725
Ground 0 m,0.0,33.99290950482928
Ground 0 m,0.0,78.20354390751768
Ground 0 m,0.0,30.365075978555023
Ground 0 m,0.0,27.22540730244646
Ground 0 m,0.0,29.153768064839724
Ground 0 m,0.0,16.228453890444495
Ground 0 m,0.0,-3.9798982437724195
Ground 0 m,0.0,14.00461681402395
Ground 0 m,0.0,48.88142039024869
Ground 0 m,0.0,20.884590364612215
Ground 0 m,0.0,62.18076787715755
Ground 0 m,0.0,39.04687946589285
Ground 0 m,0.0,56.78956422375468
Ground 0 m,0.0,15.748943141095705
Ground 0 m,0.0,22.225425027455525
Ground 0 m,0.0,91.03922263279549
Ground 0 m,0.0,16.414904905089706
Ground 0 m,0.0,38.90385564067992
Ground 0 m,0.0,53.92912546827653
Ground 0 m,0.0,-20.742722066641086
Ground 0 m,0.0,80.46671001231894
Ground 0 m,0.0,-3.1302358800020285
Ground 0 m,0.0,103.94585611344576
Ground 0 m,0.0,36.79332153720686
Ground 0 m,0.0,11.331112186424214
Ground 0 m,0.0,57.0797740317095
Ground 0 m,0.0,-6.144616416867655
Ground 0 m,0.0,4.520169642794915
Ground 0 m,0.0,26.822225489872014
Ground 0 m,0.0,26.75127235271433
Ground 0 m,0.0,46.77756038678977
Ground 0 m,0.0,30.88283815379804
Ground 0 m,0.0,39.39418433660449
Ground 0 m,0.0,15.220640015860594
Ground 0 m,0.0,95.83065737431475
Ground 0 m,0.0,28.02458865269715
Ground 0 m,0.0,24.11139395175301
Ground 0 m,0.0,8.947987942962003
Ground 0 m,0.0,0.8310310074846199
Ground 0 m,0.0,43.53511758795726
Ground 0 m,0.0,38.54096052300443
Ground 0 m,0.0,34.56751248757486
Ground 0 m,0.0,-4.47050312245293
Ground 0 m,0.0,95.13094774217849
Ground 0 m,0.0,40.15207646335093
Ground 0 m,0.0,48.972515660423824
Ground 0 m,0.0,27.43190839367864
